Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Your Campus:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course:,Your Course,Your Course:,Please indicate the TYPE of course this was in terms of delivery:,1. I participated in course activities that connected the course to real-world scenarios:,How much did these activities help you learn?,"2. I received feedback (e.g., on graded work, in class, at office hour visits) from my instructor:",How much did this activity help you learn?,"3. I participated in group work, activities, or collaborations:",How much did this activity help you learn?,4. I participated in IN-CLASS discussions:,How much did this activity help you learn?,5. I participated in ONLINE discussions:,How much did this activity help you learn?,6. I helped other students learn/understand course content (including presentations):,How much did this activity help you learn?,7. I attended Supplemental Instruction sessions outside of class:,How much did this activity help you learn?,8. I took placement/readiness tests before learning the course materials:,How much did this activity help you learn?,9. I listened to my instructor’s lectures:,How much did this activity help you learn?,"10.  What are the top 3 ACTIVITIES that best help you learn, whether they are on the list above or not and whether or not they were part of your course?","1. I used my campus Learning Management System (LMS)An LMS is a website a campus uses to provide course materials online.  Examples include Blackboard, Beachboard, iLearn, Moodle, and Canvas. for this course:",How much did using this technology help you learn?,2. I used an eTextbook in this course:,How much did using this technology help you learn?,"3. I used online homework or study materials/resources from publishers such as Connect, WebAssign, McGraw Hill, ALEKS, or Pearson in this course:",How much did using this technology help you learn?,4. I used virtual labs or simulations in this course:,How much did using this technology help you learn?,5. I watched or listened to my instructor's recorded or streamed audio or video lectures:,How much did using this technology help you learn?,"6. I used audio or video from an outside source for information related to the course  (for example, a YouTube video to help me better understand a key course concept):",How much did using this technology help you learn?,7. I took ONLINE quizzes or tests in this course:,How much did using this technology help you learn?,"8. I used Google tools (e.g., Google Docs, Forms, or Hangouts) for this course:",How much did using this technology help you learn?,9. I used a website created for this class by my instructor outside the LMS:,How much did using this technology help you learn?,10. I used ONLINE content from other courses or schools to study for this course:,How much did using this technology help you learn?,11. I use clickers in this course:,How much did using this technology help you learn?,"12. I used social media (e.g., Facebook or Twitter) in this course:",How much did using this technology help you learn?,"13. I used a web conferencing tool (e.g., Collaborate, Connect, Zoom, Blue Jeans, GoToMeeting or WebEx) in this course:",How much did using this technology help you learn?,"14. What are the top 3 TECHNOLOGIES that best help you learn, whether they are on the list above or not and whether or not they were part of your course?",1. It was easy to communicate with my instructor.,2. It was easy to communicate with other students in the course.,3. I felt a sense of community in this course.,4. Feeling a sense of community in my courses is important to me.,5. I understood what this course was supposed to cover – the learning objectives were clearly defined.,6. The learning activities supported the accomplishment of the stated learning objectives.,7. I understood the technical requirements and/or technology policy provided by my instructor.,8. I was able to find online help when I needed it.,9. I had access to a rubrica list of expectations for evaluating the quality of an assignment showing how I can succeed in the course OR on a project.,Please provide any comments about your course experience that you would like to share here.,Participating in an in-class discussion,Participating in an online discussion,Answering a question in class,"Taking “objective” tests (e.g., multiple choice, true/false)",Taking essay tests,Writing a high quality term paper,Explaining a concept to another student,Studying enough to understand content thoroughly,Attending class regularly,Using technology in future courses,Applying lecture content to a laboratory session,Spreading out studying instead of cramming,Completing all assignments,Keeping up with the readings,Raising my hand in class,Visiting my professor during office hours,Please provide any comments about your confidence levels after taking this course that you would like to share here.,1. Gender,Other (please specify):1. Gender,2. Race/Ethnicity:,3. Current GPA:,4. Do you receive financial aid?,5. How many units did you take this semester?,"6. On average, how many hours per week did you work this semester?","7. Do you use Assistive TechnologyAssistive Technology is tool used to increase, maintain, or improve the functional capabilities of individuals with disabilities.?",Screen reader:Please check all types of assistive technology listed below that you use:,Text-to-speech:Please check all types of assistive technology listed below that you use:,Voice recognition:Please check all types of assistive technology listed below that you use:,Magnifier:Please check all types of assistive technology listed below that you use:,Other (please specify)::Please check all types of assistive technology listed below that you use:,Other (please specify)::Please check all types of assistive technology listed below that you use:,I would like to enter my name and email address for a chance to win one of 40 $10 Amazon gift cards. I understand that providing my name here will NOT in any way compromise the anonymity of my responses.,I would like to participate in a brief follow-up interview via video conference for an additional opportunity to win a $10 Starbucks gift card.,Name,Email
4,"Apr 29, 2017 5:09:42 PM","Apr 29, 2017 5:09:42 PM",Complete,,,,English,https://app.surveygizmo.com/builder/test/id/3527465,https://app.surveygizmo.com/builder/test/id/3527465,1493510982_59052b46809127.98644126,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,,x,x,x,United States,Kirkland,WA,x,San Marcos,,"ENGL 103	–Ham",,"CSCI 208	–	Andy",,,,,,,,,,,,,,,,,,,,,,,,,,,,100% online,Sometimes,Not much,Never,Not much,Never,A lot,NA,A lot,Always,A lot,Often,Not much,Rarely,Some,Always,A lot,Often,A lot,"Alice again, in a moment that it might appear to others that what you mean,' the March Hare went 'Sh!.",Sometimes,A lot,Sometimes,Some,Rarely,Not much,Never,Some,Always,A lot,Always,A lot,Always,A lot,Rarely,Some,Always,Some,Sometimes,A lot,Always,None,Sometimes,Some,Always,Some,I am to see how the Dodo solemnly presented the.,Agree,Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Not Applicable/No Opinion,Strongly Agree,"Alice. 'That's very important,' the King.",No change in confidence,No change in confidence,More Confident,Less Confident,Less Confident,N/A,No change in confidence,More Confident,No change in confidence,More Confident,More Confident,N/A,More Confident,Less Confident,More Confident,No change in confidence,"I don't keep the same thing with you,' said the King was the BEST butter,' the.",O,,Multi-Racial (two or more races),Below 2.00,Decline to state,1-6,More than 40,Yes,screen reader,text-to-speech,voice recognition,magnifier,Other,The Duchess took no.,,Yes,x,x
5,"Apr 29, 2017 5:09:43 PM","Apr 29, 2017 5:09:43 PM",Complete,,,,English,https://app.surveygizmo.com/builder/test/id/3527465,https://app.surveygizmo.com/builder/test/id/3527465,1493510983_59052b47ba5349.26892454,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,,x,x,x,United States,Kirkland,WA,x,Dominguez Hills,,"ENGL 103	–Ham",,"HIST 131	–	Bern",,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly online,Rarely,Some,Never,Not much,Always,None,Rarely,Some,NA,Some,Often,Some,Sometimes,None,Rarely,None,Often,A lot,"White Rabbit was no 'One, two, three, and away,' but they all looked puzzled.) 'He must have been changed for Mabel! I'll try if I was, I.",Rarely,Not much,Sometimes,None,Often,None,Never,Some,Rarely,Not much,Sometimes,None,Always,Not much,Rarely,None,Sometimes,None,Rarely,Not much,NA,Not much,Never,Not much,Never,Some,"I know!' exclaimed Alice, who had not noticed before, and behind them a new pair of white kid gloves while she.",Strongly Disagree,Not Applicable/No Opinion,Neutral,Neutral,Not Applicable/No Opinion,Not Applicable/No Opinion,Neutral,Disagree,Neutral,"Alice; 'all I know is, something comes at me like that!' said Alice sharply, for she had someone to listen to me! I'LL soon.",More Confident,Less Confident,N/A,Less Confident,More Confident,No change in confidence,No change in confidence,No change in confidence,Less Confident,N/A,No change in confidence,Less Confident,Less Confident,N/A,More Confident,No change in confidence,"Alice had been looking at them with large eyes full of the what?' said the Hatter. 'Nor I,' said the King. 'Then.",O,,Unknown,2.00-2.50,Yes,16-18,0,No,,,,,Other,Hatter. 'I told you.,Yes,No,x,x
17,"May 1, 2017 9:06:29 AM","May 1, 2017 9:10:53 AM",Complete,102917814,,,English,,,de81cd68480304866ec294d73695228d,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",,x,x,x,United States,San Marcos,CA,x,San Marcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GIST 136	–	Myers",,,,100% in-person,Always,A lot,Always,A lot,Always,A lot,Always,A lot,Always,A lot,NA,,NA,,NA,,Always,A lot,1. Group discussions 2. Group activities 3. Participation,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,n/a,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Applicable/No Opinion,Not Applicable/No Opinion,Strongly Agree,GREAT :),More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,GREAT:),M,,Asian,3.01-3.50,Yes,12-15,11-20,No,,,,,,,Yes,No,x,x
19,"May 1, 2017 9:14:01 AM","May 1, 2017 9:25:11 AM",Complete,102916681,,,English,,,78bb33d63d006532b860bbe87cebc879,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Ver","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1",,x,x,x,United States,Irvine,CA,x,Fullerton,,,,,,,,,"CHEM 198	–	Poe",,,,,,,,,,,,,,,,,,,,,,,Mostly in-person,Often,A lot,Always,A lot,Always,A lot,Often,A lot,NA,,Sometimes,A lot,NA,,NA,,Always,A lot,One activity that helped me learn was the online lecture. Another activity that followed the online lecture that helped me learn were the activities provided for the online lessons. The last activity that helped me learn were the weekly readings and quizzes. ,Always,A lot,NA,,Often,A lot,NA,,Always,A lot,Rarely,Some,Always,A lot,NA,,NA,,Rarely,Some,Always,A lot,NA,,NA,,"The three top technologies that helped me learn best were the clickers, video lectures and online activities. ",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Everything was direct and straight forward with regards for what to expect in the course.,No change in confidence,N/A,More Confident,More Confident,N/A,More Confident,More Confident,More Confident,More Confident,More Confident,N/A,More Confident,More Confident,More Confident,No change in confidence,N/A,"Because of this class, I had to make sure I was on top of my reading because otherwise everything else would be difficult. ",F,,White/Caucasian,3.01-3.50,No,12-15,11-20,No,,,,,,,No,No,x,x
22,"May 1, 2017 9:39:57 AM","May 1, 2017 9:44:42 AM",Complete,102916100,,,English,,,108a6d50bfd91b61b5458b52b3035622,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30",,x,x,x,United States,Chico,CA,x,Chico,,,,"MATH 500	–	Westin",,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly in-person,Often,A lot,Always,A lot,Sometimes,Some,Always,Some,NA,,NA,,Often,Some,Rarely,Some,Often,Some,"Extra problem worksheets helped the most. Then ALEKS problems, then labs. Labs helped understand material but not on exams.",NA,,NA,,Often,A lot,NA,,NA,,Sometimes,Some,NA,,NA,,NA,,Sometimes,Some,NA,,NA,,NA,,,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,,More Confident,N/A,No change in confidence,More Confident,No change in confidence,No change in confidence,More Confident,Less Confident,More Confident,More Confident,More Confident,More Confident,Less Confident,Less Confident,More Confident,Less Confident,,F,,White/Caucasian,3.01-3.50,Yes,16-18,11-20,No,,,,,,,Yes,Yes,x,x
23,"May 1, 2017 9:45:04 AM","May 1, 2017 9:55:04 AM",Complete,102915770,,,English,,,71f11525c822fd8c9200b54dcc618c2e,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Ve","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",,x,x,x,United States,Chico,CA,x,Chico,,,,"CHEM 400	–	Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,100% in-person,Sometimes,Some,Often,Some,Sometimes,Some,Sometimes,Some,NA,,Always,A lot,Often,A lot,Never,,Always,A lot,"The videos were number 1. Lecture 2, and discussions I guess would be 3",Always,Some,NA,,Always,Some,Never,,Always,A lot,NA,,Often,Not much,Never,,NA,,NA,,NA,,NA,,NA,,"The videos, the videos, the videos",Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,The 4 sources of info we were given to study and help understanding was a good combo. ,No change in confidence,No change in confidence,No change in confidence,No change in confidence,No change in confidence,No change in confidence,No change in confidence,More Confident,No change in confidence,No change in confidence,No change in confidence,No change in confidence,No change in confidence,No change in confidence,No change in confidence,No change in confidence,It's another class. Nothing really changed it. I've done the same thing for years and been successful ,M,,White/Caucasian,3.51-4.00,Yes,12-15,11-20,No,,,,,,,Yes,No,x,x
25,"May 1, 2017 9:51:25 AM","May 1, 2017 9:57:13 AM",Complete,102916093,,,English,,,5fe527acd463723d1c2eb1fc6d945c8e,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Ver","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1",,x,x,x,United States,Chico,CA,x,Chico,,,,"CHEM 732	–	Gonzaga",,,,,,,,,,,,,,,,,,,,,,,,,,,,100% in-person,Sometimes,Some,Often,Some,Sometimes,Some,NA,,NA,,Sometimes,A lot,Sometimes,A lot,NA,,Always,Some,"Homework, SI, lecture",Often,Some,NA,,Sometimes,Not much,NA,,NA,,Sometimes,A lot,Often,Some,NA,,NA,,Often,Some,Never,,Never,,Never,,"ALEKS, boundless, youtube",Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,,No change in confidence,No change in confidence,No change in confidence,No change in confidence,No change in confidence,No change in confidence,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,More Confident,No change in confidence,No change in confidence,,F,,White/Caucasian,3.51-4.00,No,16-18,21-30,No,,,,,,,Yes,Yes,x,x
27,"May 1, 2017 9:52:03 AM","May 1, 2017 9:59:17 AM",Complete,102917894,,,English,,,50df440034d5450ca6784e7aa7075d5d,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",,x,x,x,United States,Oceanside,CA,x,San Marcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PSYC 341	–	Nguyen",,,,Mostly in-person,Sometimes,Some,Often,Some,Sometimes,Some,Often,A lot,Always,Some,Sometimes,Some,NA,,NA,,Often,Some,"1. In class lectures as we got to ask him questions. 2. Once flipped, working out problems helped with certain sections of the class. 3. If we started the buddy system earlier (working in teams) it would help the learning experience.",Always,Some,Always,A lot,Sometimes,Some,Always,Some,Always,Some,Often,A lot,Always,Some,Never,,Never,,Often,A lot,NA,,NA,,Sometimes,Some,"1. Labster 2. Cougar courses (blackboard) 3. online lectures (helped a little, but video was fuzzy at best and couldn't read the board)",Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Neutral,Many of the videos were not clear and the program itself (zoom) is very unreliable as it would loose connection and our entire video that he recorded would be gone. More reliable technology is needed to perform better in this class.,No change in confidence,More Confident,No change in confidence,Less Confident,Less Confident,More Confident,No change in confidence,No change in confidence,More Confident,Less Confident,More Confident,Less Confident,More Confident,Less Confident,No change in confidence,No change in confidence,,F,,Asian,3.51-4.00,No,12-15,11-20,No,,,,,,,Yes,No,x,x
29,"May 1, 2017 9:51:53 AM","May 1, 2017 9:57:35 AM",Complete,102917805,,,English,,,7ee0e356f37e62adc50ae4d794b5b07f,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Saf","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",,x,x,x,United States,San Marcos,CA,x,San Marcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ACCT 186	–	Ramedani",,,,100% in-person,Often,A lot,Often,A lot,Often,Some,Often,A lot,Always,A lot,Sometimes,Some,Rarely,Some,NA,,Always,Some,online lecture online lectures,Never,,Never,,Never,,Sometimes,Some,Often,A lot,Never,,Often,Some,Never,,Never,,Never,,NA,,Never,,Never,,Cougar courses,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,,More Confident,More Confident,More Confident,More Confident,More Confident,No change in confidence,More Confident,No change in confidence,More Confident,No change in confidence,More Confident,More Confident,No change in confidence,More Confident,No change in confidence,No change in confidence,,F,,Hispanic/Latino,3.01-3.50,Yes,12-15,1-10,No,,,,,,,Yes,No,x,x
